TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Residential/Other,2018,4,6,17,0,44XX ANGUS DR,Shaughnessy,489408.4257,5454822.3892
Break and Enter Residential/Other,2011,11,23,19,30,44XX ANGUS DR,Shaughnessy,489416.4704,5454780.9825
Break and Enter Residential/Other,2014,7,5,9,0,44XX ANGUS DR,Shaughnessy,489416.4704,5454780.9825
Break and Enter Residential/Other,2003,5,17,17,0,44XX CARTIER ST,Shaughnessy,490045.4751,5454828.2696
Break and Enter Residential/Other,2004,10,31,13,30,44XX CYPRESS ST,Shaughnessy,489166.4725,5454859.0796
Break and Enter Residential/Other,2003,1,6,11,0,44XX GRANVILLE ST,Shaughnessy,489866.3301,5454849.647
Break and Enter Residential/Other,2011,2,6,21,30,44XX GRANVILLE ST,Shaughnessy,489866.3301,5454849.647
Break and Enter Residential/Other,2009,1,31,13,0,44XX GRANVILLE ST,Shaughnessy,489866.4828,5454822.1411
Break and Enter Residential/Other,2004,11,4,23,40,44XX GRANVILLE ST,Shaughnessy,489866.6238,5454796.7509
Break and Enter Residential/Other,2011,1,23,15,0,44XX GRANVILLE ST,Shaughnessy,489866.6238,5454796.7509
Break and Enter Residential/Other,2008,3,3,15,25,44XX GRANVILLE ST,Shaughnessy,489875.7089,5454807.3809
Break and Enter Residential/Other,2017,7,4,0,0,44XX GRANVILLE ST,Shaughnessy,489875.7093,5454807.3338
Break and Enter Residential/Other,2020,7,20,22,0,44XX HUDSON ST,Shaughnessy,490208.0224,5454856.7598
Break and Enter Residential/Other,2003,10,28,10,0,44XX HUDSON ST,Shaughnessy,490211.5812,5454853.8552
Break and Enter Residential/Other,2010,4,18,20,39,44XX MARGUERITE ST,Shaughnessy,489491.8528,5454862.6831
Break and Enter Residential/Other,2019,1,17,20,22,44XX MARGUERITE ST,Shaughnessy,489496.9137,5454843.4584
Break and Enter Residential/Other,2004,12,19,4,25,44XX MARGUERITE ST,Shaughnessy,489501.8454,5454860.6435
Break and Enter Residential/Other,2004,8,6,20,30,44XX MARGUERITE ST,Shaughnessy,489503.3507,5454819.0074
Break and Enter Residential/Other,2012,3,27,18,0,44XX MARGUERITE ST,Shaughnessy,489503.3507,5454819.0074
Break and Enter Residential/Other,2018,3,8,21,20,44XX MARGUERITE ST,Shaughnessy,489508.7722,5454834.3302
Break and Enter Residential/Other,2003,10,12,2,0,44XX OAK ST,Shaughnessy,490704.2068,5454814.1114
Break and Enter Residential/Other,2008,2,6,14,14,44XX OAK ST,Shaughnessy,490704.3469,5454795.6932
Break and Enter Residential/Other,2012,9,16,16,38,44XX OAK ST,Shaughnessy,490704.4869,5454777.275
Break and Enter Residential/Other,2022,6,27,13,35,44XX OAK ST,Shaughnessy,490704.4928,5454776.4974
Break and Enter Residential/Other,2014,7,10,22,30,44XX OAK ST,Shaughnessy,490704.6269,5454758.8568
Break and Enter Residential/Other,2019,9,2,20,6,44XX OSLER ST,Shaughnessy,490537.2697,5454778.7851
Break and Enter Residential/Other,2011,5,6,20,0,44XX OSLER ST,Shaughnessy,490538.104,5454808.6214
Break and Enter Residential/Other,2009,11,1,19,30,44XX OSLER ST,Shaughnessy,490545.8373,5454758.0659
Break and Enter Residential/Other,2015,12,10,2,30,44XX OSLER ST,Shaughnessy,490545.8373,5454758.0659
Break and Enter Residential/Other,2019,8,18,11,45,44XX OSLER ST,Shaughnessy,490545.8373,5454758.0659
Break and Enter Residential/Other,2003,4,1,13,55,44XX PINE CRES,Shaughnessy,489279.6712,5454864.2159
Break and Enter Residential/Other,2009,5,10,20,0,44XX PINE CRES,Shaughnessy,489288.9128,5454865.7961
Break and Enter Residential/Other,2014,2,21,19,0,44XX PINE CRES,Shaughnessy,489288.9128,5454865.7961
Break and Enter Residential/Other,2014,8,10,1,0,44XX PINE CRES,Shaughnessy,489288.9128,5454865.7961
Break and Enter Residential/Other,2020,3,30,4,10,44XX PINE CRES,Shaughnessy,489291.8429,5454825.9907
Break and Enter Residential/Other,2013,10,6,19,0,44XX PINE CRES,Shaughnessy,489295.1433,5454805.5387
Break and Enter Residential/Other,2022,12,15,1,30,44XX PINE CRES,Shaughnessy,489295.65,5454802.4067
Break and Enter Residential/Other,2010,11,6,0,0,44XX PINE CRES,Shaughnessy,489300.8701,5454827.4475
Break and Enter Residential/Other,2012,2,25,10,26,44XX PINE CRES,Shaughnessy,489300.8701,5454827.4475
Break and Enter Residential/Other,2018,6,1,0,0,44XX PINE CRES,Shaughnessy,489301.2291,5454825.2204
Break and Enter Residential/Other,2020,1,5,2,48,44XX PINE CRES,Shaughnessy,489301.2291,5454825.2204
Break and Enter Residential/Other,2012,2,22,22,0,44XX PINE CRES,Shaughnessy,489304.1705,5454806.9954
Break and Enter Residential/Other,2004,7,30,0,53,44XX PINE CRES,Shaughnessy,489304.5006,5454804.9502
Break and Enter Residential/Other,2014,11,13,18,20,44XX PINE CRES,Shaughnessy,489305.0653,5454783.4923
Break and Enter Residential/Other,2003,12,6,16,15,45XX ALEXANDRA ST,Shaughnessy,489710.9014,5454649.1464
Break and Enter Residential/Other,2022,10,27,12,0,45XX ALEXANDRA ST,Shaughnessy,489712.7186,5454647.3465
Break and Enter Residential/Other,2009,8,17,11,0,45XX ANGUS DR,Shaughnessy,489405.9552,5454688.7495
Break and Enter Residential/Other,2017,9,30,20,51,45XX ANGUS DR,Shaughnessy,489405.9799,5454690.3896
Break and Enter Residential/Other,2019,2,15,18,0,45XX ANGUS DR,Shaughnessy,489406.3515,5454715.3853
Break and Enter Residential/Other,2004,7,31,13,0,45XX ANGUS DR,Shaughnessy,489406.7259,5454740.6023
Break and Enter Residential/Other,2008,9,19,12,34,45XX ANGUS DR,Shaughnessy,489415.0982,5454688.6136
Break and Enter Residential/Other,2008,12,6,10,30,45XX ANGUS DR,Shaughnessy,489415.0982,5454688.6136
Break and Enter Residential/Other,2007,5,8,9,58,45XX BEVERLY CRES,Shaughnessy,489619.2051,5454658.4622
Break and Enter Residential/Other,2019,11,16,9,59,45XX BEVERLY CRES,Shaughnessy,489657.247,5454695.8794
Break and Enter Residential/Other,2017,8,17,16,30,45XX BEVERLY CRES,Shaughnessy,489661.1327,5454714.7593
Break and Enter Residential/Other,2008,1,3,16,59,45XX BEVERLY CRES,Shaughnessy,489671.2857,5454712.7369
Break and Enter Residential/Other,2004,11,6,22,5,45XX BEVERLY CRES,Shaughnessy,489687.0275,5454731.1682
Break and Enter Residential/Other,2006,10,5,13,0,45XX BEVERLY CRES,Shaughnessy,489687.0275,5454731.1682
Break and Enter Residential/Other,2014,10,6,23,0,45XX BEVERLY CRES,Shaughnessy,489687.0275,5454731.1682
Break and Enter Residential/Other,2006,10,3,19,12,45XX CONNAUGHT DR,Shaughnessy,489744.622,5454643.6863
Break and Enter Residential/Other,2008,3,28,16,59,45XX CONNAUGHT DR,Shaughnessy,489827.5926,5454696.8088
Break and Enter Residential/Other,2010,8,21,15,30,45XX CONNAUGHT DR,Shaughnessy,489827.5926,5454696.8088
Break and Enter Residential/Other,2013,7,18,19,28,45XX CONNAUGHT DR,Shaughnessy,489827.5926,5454696.8088
Break and Enter Residential/Other,2004,11,29,4,0,45XX GRANVILLE ST,Shaughnessy,489873.9831,5454653.4463
Break and Enter Residential/Other,2020,7,15,19,3,45XX HUDSON ST,Shaughnessy,490153.2621,5454717.9473
Break and Enter Residential/Other,2011,6,23,10,0,45XX HUDSON ST,Shaughnessy,490156.4124,5454719.1899
Break and Enter Residential/Other,2015,8,21,19,45,45XX MARGUERITE ST,Shaughnessy,489517.1129,5454714.9784
Break and Enter Residential/Other,2010,2,26,8,0,45XX OAK ST,Shaughnessy,490704.0021,5454658.2837
Break and Enter Residential/Other,2005,9,6,13,0,45XX OAK ST,Shaughnessy,490704.3159,5454695.2784
Break and Enter Residential/Other,2014,12,16,2,0,45XX OAK ST,Shaughnessy,490704.4727,5454713.7757
Break and Enter Residential/Other,2019,9,5,0,0,45XX OAK ST,Shaughnessy,490704.4727,5454713.7757
Break and Enter Residential/Other,2018,12,9,14,0,45XX OSLER ST,Shaughnessy,490534.514,5454677.9567
Break and Enter Residential/Other,2009,11,15,23,0,45XX OSLER ST,Shaughnessy,490534.5346,5454678.7227
Break and Enter Residential/Other,2010,8,16,12,30,45XX OSLER ST,Shaughnessy,490544.116,5454694.7959
Break and Enter Residential/Other,2011,4,25,14,0,45XX OSLER ST,Shaughnessy,490544.6057,5454712.9292
Break and Enter Residential/Other,2015,1,8,20,48,45XX OSLER ST,Shaughnessy,490545.0954,5454731.0625
Break and Enter Residential/Other,2008,9,12,8,0,45XX PINE CRES,Shaughnessy,489303.3531,5454674.1552
Break and Enter Residential/Other,2012,2,26,15,53,45XX PINE CRES,Shaughnessy,489303.3531,5454674.1552
Break and Enter Residential/Other,2003,2,17,1,0,46XX ANGUS DR,Shaughnessy,489404.8585,5454614.9589
Break and Enter Residential/Other,2016,1,30,21,0,46XX ANGUS DR,Shaughnessy,489404.8585,5454614.9589
Break and Enter Residential/Other,2016,2,12,11,12,46XX ANGUS DR,Shaughnessy,489404.8585,5454614.9589
Break and Enter Residential/Other,2016,3,23,20,20,46XX ANGUS DR,Shaughnessy,489404.8585,5454614.9589
Break and Enter Residential/Other,2017,2,24,5,45,46XX ANGUS DR,Shaughnessy,489405.2367,5454640.3981
Break and Enter Residential/Other,2013,9,6,17,0,46XX ANGUS DR,Shaughnessy,489405.2438,5454640.8853
Break and Enter Residential/Other,2005,11,16,20,59,46XX ANGUS DR,Shaughnessy,489413.6161,5454588.8966
Break and Enter Residential/Other,2003,11,3,9,10,46XX ANGUS DR,Shaughnessy,489413.9718,5454612.8287
Break and Enter Residential/Other,2020,12,4,23,0,46XX BEVERLY CRES,Shaughnessy,489547.771,5454529.1905
Break and Enter Residential/Other,2003,1,21,5,0,46XX BEVERLY CRES,Shaughnessy,489566.3161,5454559.4028
Break and Enter Residential/Other,2003,9,28,19,15,46XX BEVERLY CRES,Shaughnessy,489566.3161,5454559.4028
Break and Enter Residential/Other,2008,10,4,19,37,46XX BEVERLY CRES,Shaughnessy,489566.3161,5454559.4028
Break and Enter Residential/Other,2004,12,5,20,45,46XX BEVERLY CRES,Shaughnessy,489587.7227,5454594.6145
Break and Enter Residential/Other,2012,5,17,5,50,46XX BEVERLY CRES,Shaughnessy,489587.7227,5454594.6145
Break and Enter Residential/Other,2020,5,23,9,0,46XX BEVERLY CRES,Shaughnessy,489598.7766,5454611.578
Break and Enter Residential/Other,2003,1,10,9,0,46XX BEVERLY CRES,Shaughnessy,489600.844,5454614.9946
Break and Enter Residential/Other,2019,5,16,20,30,46XX BEVERLY CRES,Shaughnessy,489612.6978,5454633.1923
Break and Enter Residential/Other,2003,9,21,16,0,46XX BEVERLY CRES,Shaughnessy,489613.9652,5454635.3747
Break and Enter Residential/Other,2003,8,8,14,0,46XX CONNAUGHT DR,Shaughnessy,489658.6523,5454495.5893
Break and Enter Residential/Other,2005,1,25,12,0,46XX CONNAUGHT DR,Shaughnessy,489658.6523,5454495.5893
Break and Enter Residential/Other,2008,3,15,10,30,46XX CONNAUGHT DR,Shaughnessy,489658.6523,5454495.5893
Break and Enter Residential/Other,2014,3,23,3,5,46XX CONNAUGHT DR,Shaughnessy,489674.024,5454531.9615
Break and Enter Residential/Other,2020,6,1,20,0,46XX CONNAUGHT DR,Shaughnessy,489690.1586,5454541.9131
Break and Enter Residential/Other,2012,9,13,13,45,46XX CONNAUGHT DR,Shaughnessy,489690.1892,5454541.9668
Break and Enter Residential/Other,2006,3,22,21,30,46XX CONNAUGHT DR,Shaughnessy,489700.0105,5454577.9016
Break and Enter Residential/Other,2009,11,16,18,40,46XX CONNAUGHT DR,Shaughnessy,489700.0105,5454577.9016
Break and Enter Residential/Other,2014,12,9,21,30,46XX CONNAUGHT DR,Shaughnessy,489700.0105,5454577.9016
Break and Enter Residential/Other,2017,8,1,0,0,46XX CONNAUGHT DR,Shaughnessy,489700.0105,5454577.9016
Break and Enter Residential/Other,2006,10,28,19,55,46XX CONNAUGHT DR,Shaughnessy,489717.5434,5454590.3248
Break and Enter Residential/Other,2012,6,4,3,53,46XX CONNAUGHT DR,Shaughnessy,489717.5434,5454590.3248
Break and Enter Residential/Other,2010,9,20,13,0,46XX GRANVILLE ST,Shaughnessy,489864.0571,5454603.6703
Break and Enter Residential/Other,2016,7,21,18,0,46XX GRANVILLE ST,Shaughnessy,489864.0571,5454603.6703
Break and Enter Residential/Other,2003,7,27,17,30,46XX GRANVILLE ST,Shaughnessy,489864.4865,5454631.0455
Break and Enter Residential/Other,2008,9,16,16,0,46XX GRANVILLE ST,Shaughnessy,489864.4865,5454631.0455
Break and Enter Residential/Other,2008,9,23,0,1,46XX GRANVILLE ST,Shaughnessy,489864.4865,5454631.0455
Break and Enter Residential/Other,2010,11,3,15,9,46XX GRANVILLE ST,Shaughnessy,489864.4865,5454631.0455
Break and Enter Residential/Other,2004,3,8,12,0,46XX GRANVILLE ST,Shaughnessy,489872.7452,5454574.5414
Break and Enter Residential/Other,2018,6,15,16,30,46XX HUDSON ST,Shaughnessy,490123.9701,5454643.7785
Break and Enter Residential/Other,2010,9,23,8,30,46XX HUDSON ST,Shaughnessy,490128.813,5454607.9067
Break and Enter Residential/Other,2003,12,5,11,0,46XX MARGUERITE ST,Shaughnessy,489508.4755,5454644.2587
Break and Enter Residential/Other,2006,2,28,12,0,46XX MARGUERITE ST,Shaughnessy,489513.233,5454617.8041
Break and Enter Residential/Other,2003,6,18,14,0,46XX MARGUERITE ST,Shaughnessy,489530.7772,5454602.767
Break and Enter Residential/Other,2003,10,28,14,27,46XX MARGUERITE ST,Shaughnessy,489530.7772,5454602.767
Break and Enter Residential/Other,2004,1,6,21,30,46XX MARGUERITE ST,Shaughnessy,489530.7772,5454602.767
Break and Enter Residential/Other,2003,10,20,19,0,46XX MARGUERITE ST,Shaughnessy,489551.7313,5454588.0148
Break and Enter Residential/Other,2017,9,20,21,30,46XX OAK ST,Shaughnessy,490702.5022,5454574.2147
Break and Enter Residential/Other,2008,4,26,21,21,46XX OAK ST,Shaughnessy,490702.5182,5454575.0089
Break and Enter Residential/Other,2015,7,12,22,0,46XX OAK ST,Shaughnessy,490702.5182,5454575.0089
Break and Enter Residential/Other,2004,9,28,11,15,46XX OAK ST,Shaughnessy,490703.2779,5454613.4884
Break and Enter Residential/Other,2017,5,12,19,0,46XX OSLER ST,Shaughnessy,490532.3741,5454598.5079
Break and Enter Residential/Other,2014,7,4,4,35,46XX OSLER ST,Shaughnessy,490540.497,5454560.4082
Break and Enter Residential/Other,2014,10,8,4,10,46XX OSLER ST,Shaughnessy,490540.497,5454560.4082
Break and Enter Residential/Other,2011,4,12,8,30,46XX OSLER ST,Shaughnessy,490541.4653,5454596.4216
Break and Enter Residential/Other,2012,3,25,17,0,46XX OSLER ST,Shaughnessy,490541.9494,5454614.4283
Break and Enter Residential/Other,2018,2,6,19,0,46XX OSLER ST,Shaughnessy,490541.9698,5454615.1884
Break and Enter Residential/Other,2020,11,2,18,0,46XX OSLER ST,Shaughnessy,490541.9698,5454615.1884
Break and Enter Residential/Other,2015,12,11,12,30,46XX PINE CRES,Shaughnessy,489299.4894,5454594.9218
Break and Enter Residential/Other,2018,5,31,4,30,46XX PINE CRES,Shaughnessy,489302.2907,5454644.4952
Break and Enter Residential/Other,2007,10,28,14,30,46XX PINE CRES,Shaughnessy,489303.7352,5454564.7514
Break and Enter Residential/Other,2016,10,14,16,7,46XX SELKIRK ST,Shaughnessy,490335.3572,5454580.1133
Break and Enter Residential/Other,2016,10,23,17,0,46XX SELKIRK ST,Shaughnessy,490335.3572,5454580.1133
Break and Enter Residential/Other,2017,3,9,11,30,46XX SELKIRK ST,Shaughnessy,490336.0388,5454581.9364
Break and Enter Residential/Other,2019,8,15,22,41,46XX SELKIRK ST,Shaughnessy,490336.0388,5454581.9364
Break and Enter Residential/Other,2018,5,31,4,0,47XX ANGUS DR,Shaughnessy,489403.7888,5454523.577
Break and Enter Residential/Other,2019,10,13,22,0,47XX ANGUS DR,Shaughnessy,489403.8074,5454497.0276
Break and Enter Residential/Other,2006,7,24,14,0,47XX ANGUS DR,Shaughnessy,489403.8278,5454468.2186
Break and Enter Residential/Other,2013,9,8,14,20,47XX ANGUS DR,Shaughnessy,489412.9751,5454463.4588
Break and Enter Residential/Other,2008,5,18,12,0,47XX CONNAUGHT DR,Shaughnessy,489646.2985,5454459.1584
Break and Enter Residential/Other,2020,4,17,5,39,47XX CONNAUGHT DR,Shaughnessy,489647.0112,5454462.5055
Break and Enter Residential/Other,2011,4,14,13,11,47XX CONNAUGHT DR,Shaughnessy,489653.5947,5454443.9871
Break and Enter Residential/Other,2019,2,11,23,0,47XX GRANVILLE ST,Shaughnessy,489861.639,5454483.9796
Break and Enter Residential/Other,2019,10,14,17,19,47XX GRANVILLE ST,Shaughnessy,489861.639,5454483.9796
Break and Enter Residential/Other,2020,2,18,12,0,47XX GRANVILLE ST,Shaughnessy,489871.2936,5454505.7384
Break and Enter Residential/Other,2007,12,18,21,0,47XX GRANVILLE ST,Shaughnessy,489871.2942,5454505.7776
Break and Enter Residential/Other,2008,6,26,6,0,47XX GRANVILLE ST,Shaughnessy,489871.2942,5454505.7776
Break and Enter Residential/Other,2017,3,4,20,12,47XX HUDSON ST,Shaughnessy,490152.4777,5454518.2316
Break and Enter Residential/Other,2022,4,14,10,0,47XX HUDSON ST,Shaughnessy,490152.4777,5454518.2316
Break and Enter Residential/Other,2020,12,4,5,10,47XX MARGUERITE ST,Shaughnessy,489520.0824,5454450.4955
Break and Enter Residential/Other,2003,2,1,1,0,47XX MARGUERITE ST,Shaughnessy,489524.8298,5454477.6602
Break and Enter Residential/Other,2011,2,22,8,44,47XX MARGUERITE ST,Shaughnessy,489524.8298,5454477.6602
Break and Enter Residential/Other,2014,8,15,17,0,47XX MARGUERITE ST,Shaughnessy,489528.8384,5454447.482
Break and Enter Residential/Other,2003,10,18,17,45,47XX MARGUERITE ST,Shaughnessy,489529.2615,5454449.9012
Break and Enter Residential/Other,2004,2,27,6,37,47XX MARGUERITE ST,Shaughnessy,489537.4498,5454496.7584
Break and Enter Residential/Other,2011,12,25,10,0,47XX MARGUERITE ST,Shaughnessy,489537.4498,5454496.7584
Break and Enter Residential/Other,2015,5,15,11,40,47XX MARGUERITE ST,Shaughnessy,489537.4498,5454496.7584
Break and Enter Residential/Other,2015,1,20,16,15,47XX OAK ST,Shaughnessy,490695.7983,5454442.3558
Break and Enter Residential/Other,2018,3,21,6,30,47XX OAK ST,Shaughnessy,490696.7984,5454458.7566
Break and Enter Residential/Other,2018,6,2,10,0,47XX OAK ST,Shaughnessy,490696.7984,5454458.7566
Break and Enter Residential/Other,2018,6,29,10,0,47XX OAK ST,Shaughnessy,490696.7984,5454458.7566
Break and Enter Residential/Other,2010,12,6,12,0,47XX OAK ST,Shaughnessy,490697.8849,5454476.5704
Break and Enter Residential/Other,2015,3,20,15,30,47XX OAK ST,Shaughnessy,490698.9282,5454493.6778
Break and Enter Residential/Other,2015,8,24,14,32,47XX OAK ST,Shaughnessy,490698.9282,5454493.6778
Break and Enter Residential/Other,2016,4,27,9,0,47XX OAK ST,Shaughnessy,490698.9282,5454493.6778
Break and Enter Residential/Other,2003,7,10,12,30,47XX OAK ST,Shaughnessy,490699.9716,5454510.7851
Break and Enter Residential/Other,2012,12,1,13,0,47XX OAK ST,Shaughnessy,490699.9716,5454510.7851
Break and Enter Residential/Other,2012,4,20,18,0,47XX OSLER ST,Shaughnessy,490528.5773,5454451.501
Break and Enter Residential/Other,2017,8,5,7,30,47XX OSLER ST,Shaughnessy,490528.999,5454468.182
Break and Enter Residential/Other,2016,4,3,13,54,47XX OSLER ST,Shaughnessy,490529.4207,5454484.863
Break and Enter Residential/Other,2003,8,18,7,30,47XX OSLER ST,Shaughnessy,490529.8424,5454501.544
Break and Enter Residential/Other,2004,8,24,10,0,47XX OSLER ST,Shaughnessy,490529.8424,5454501.544
Break and Enter Residential/Other,2012,1,16,18,0,47XX OSLER ST,Shaughnessy,490530.2642,5454518.225
Break and Enter Residential/Other,2014,1,25,9,30,47XX OSLER ST,Shaughnessy,490530.2642,5454518.225
Break and Enter Residential/Other,2017,8,18,17,10,47XX OSLER ST,Shaughnessy,490537.6194,5454447.3516
Break and Enter Residential/Other,2011,5,7,17,0,47XX PINE CRES,Shaughnessy,489322.2072,5454468.215
Break and Enter Residential/Other,2004,2,21,16,22,47XX SELKIRK ST,Shaughnessy,490338.863,5454418.3029
Break and Enter Residential/Other,2005,7,22,10,0,48XX ANGUS DR,Shaughnessy,489403.8433,5454445.9764
Break and Enter Residential/Other,2006,3,16,20,0,48XX ANGUS DR,Shaughnessy,489403.8433,5454445.9764
Break and Enter Residential/Other,2005,5,21,17,24,48XX ANGUS DR,Shaughnessy,489403.8712,5454406.2582
Break and Enter Residential/Other,2006,1,8,20,0,48XX ANGUS DR,Shaughnessy,489403.8712,5454406.2582
Break and Enter Residential/Other,2017,4,20,22,26,48XX ANGUS DR,Shaughnessy,489412.9911,5454440.6166
Break and Enter Residential/Other,2013,7,15,14,1,48XX ANGUS DR,Shaughnessy,489413.0163,5454404.6759
Break and Enter Residential/Other,2014,4,16,23,0,48XX ANGUS DR,Shaughnessy,489413.0163,5454404.6759
Break and Enter Residential/Other,2007,1,8,11,0,48XX ANGUS DR,Shaughnessy,489413.0307,5454384.0225
Break and Enter Residential/Other,2012,11,28,6,0,48XX ANGUS DR,Shaughnessy,489413.0307,5454384.0225
Break and Enter Residential/Other,2012,6,4,23,30,48XX CONNAUGHT DR,Shaughnessy,489636.0558,5454378.2583
Break and Enter Residential/Other,2014,3,27,13,59,48XX CONNAUGHT DR,Shaughnessy,489636.0558,5454378.2583
Break and Enter Residential/Other,2003,1,13,19,0,48XX GRANVILLE ST,Shaughnessy,489857.7182,5454376.0586
Break and Enter Residential/Other,2019,9,4,12,43,48XX GRANVILLE ST,Shaughnessy,489859.7707,5454408.0812
Break and Enter Residential/Other,2019,9,13,0,0,48XX GRANVILLE ST,Shaughnessy,489859.7707,5454408.0812
Break and Enter Residential/Other,2004,2,20,10,0,48XX GRANVILLE ST,Shaughnessy,489860.5899,5454440.5562
Break and Enter Residential/Other,2015,3,7,19,33,48XX GRANVILLE ST,Shaughnessy,489860.5899,5454440.5562
Break and Enter Residential/Other,2015,11,15,2,6,48XX GRANVILLE ST,Shaughnessy,489860.5899,5454440.5562
Break and Enter Residential/Other,2011,5,7,11,30,48XX GRANVILLE ST,Shaughnessy,489866.0915,5454369.2431
Break and Enter Residential/Other,2006,2,4,16,0,48XX GRANVILLE ST,Shaughnessy,489868.8621,5454405.8952
Break and Enter Residential/Other,2018,12,20,19,59,48XX HUDSON ST,Shaughnessy,490203.1911,5454426.5215
Break and Enter Residential/Other,2008,10,29,22,49,48XX HUDSON ST,Shaughnessy,490204.116,5454424.5712
Break and Enter Residential/Other,2013,1,18,18,0,48XX HUDSON ST,Shaughnessy,490204.116,5454424.5712
Break and Enter Residential/Other,2015,1,10,9,0,48XX HUDSON ST,Shaughnessy,490207.829,5454349.8139
Break and Enter Residential/Other,2016,8,3,18,15,48XX HUDSON ST,Shaughnessy,490207.829,5454349.8139
Break and Enter Residential/Other,2021,1,11,21,17,48XX MARGUERITE ST,Shaughnessy,489507.5057,5454378.5253
Break and Enter Residential/Other,2023,1,10,12,30,48XX MARGUERITE ST,Shaughnessy,489507.5057,5454378.5253
Break and Enter Residential/Other,2016,12,16,18,13,48XX MARGUERITE ST,Shaughnessy,489508.7633,5454385.7222
Break and Enter Residential/Other,2010,10,28,19,1,48XX MARGUERITE ST,Shaughnessy,489509.1756,5454388.0801
Break and Enter Residential/Other,2013,10,9,17,7,48XX MARGUERITE ST,Shaughnessy,489509.1756,5454388.0801
Break and Enter Residential/Other,2015,10,14,18,41,48XX MARGUERITE ST,Shaughnessy,489512.5473,5454407.3743
Break and Enter Residential/Other,2006,3,24,17,0,48XX MARGUERITE ST,Shaughnessy,489515.5339,5454371.3464
Break and Enter Residential/Other,2016,12,30,18,18,48XX MARGUERITE ST,Shaughnessy,489516.5609,5454430.3438
Break and Enter Residential/Other,2015,7,13,22,15,48XX MARGUERITE ST,Shaughnessy,489516.7381,5454378.2371
Break and Enter Residential/Other,2015,11,18,17,30,48XX MARGUERITE ST,Shaughnessy,489516.7381,5454378.2371
Break and Enter Residential/Other,2018,5,19,0,0,48XX MARGUERITE ST,Shaughnessy,489516.7381,5454378.2371
Break and Enter Residential/Other,2011,6,23,11,50,48XX MARGUERITE ST,Shaughnessy,489523.9631,5454419.5818
Break and Enter Residential/Other,2003,4,30,17,0,48XX OAK ST,Shaughnessy,490693.0951,5454380.5281
Break and Enter Residential/Other,2003,6,11,12,55,48XX OAK ST,Shaughnessy,490693.0951,5454380.5281
Break and Enter Residential/Other,2014,4,27,10,42,48XX OAK ST,Shaughnessy,490693.0951,5454380.5281
Break and Enter Residential/Other,2018,5,28,17,0,48XX OSLER ST,Shaughnessy,490525.5876,5454341.2613
Break and Enter Residential/Other,2019,3,9,4,4,48XX OSLER ST,Shaughnessy,490526.5413,5454375.4484
Break and Enter Residential/Other,2019,3,5,5,40,48XX OSLER ST,Shaughnessy,490527.2706,5454401.5914
Break and Enter Residential/Other,2004,11,5,20,44,48XX OSLER ST,Shaughnessy,490534.8651,5454345.9267
Break and Enter Residential/Other,2007,12,6,5,20,48XX OSLER ST,Shaughnessy,490534.8651,5454345.9267
Break and Enter Residential/Other,2016,7,19,20,45,48XX OSLER ST,Shaughnessy,490535.4013,5454365.1384
Break and Enter Residential/Other,2011,8,15,17,0,48XX OSLER ST,Shaughnessy,490535.4023,5454365.1809
Break and Enter Residential/Other,2014,5,11,20,1,48XX OSLER ST,Shaughnessy,490536.4765,5454403.6894
Break and Enter Residential/Other,2016,2,9,20,0,48XX OSLER ST,Shaughnessy,490536.4765,5454403.6894
Break and Enter Residential/Other,2018,3,4,20,0,48XX PINE CRES,Shaughnessy,489320.4385,5454383.6186
Break and Enter Residential/Other,2014,9,21,23,0,48XX PINE CRES,Shaughnessy,489320.5654,5454386.8245
Break and Enter Residential/Other,2011,3,3,16,21,48XX PINE CRES,Shaughnessy,489321.4014,5454407.8971
Break and Enter Residential/Other,2017,6,13,13,26,48XX PINE CRES,Shaughnessy,489321.4014,5454407.8971
Break and Enter Residential/Other,2020,10,21,5,21,48XX PINE CRES,Shaughnessy,489321.4014,5454407.8971
Break and Enter Residential/Other,2020,11,4,6,14,48XX PINE CRES,Shaughnessy,489321.4014,5454407.8971
Break and Enter Residential/Other,2003,1,27,18,0,48XX SELKIRK ST,Shaughnessy,490357.4244,5454370.6959
Break and Enter Residential/Other,2009,4,30,0,0,48XX SELKIRK ST,Shaughnessy,490357.4244,5454370.6959
Break and Enter Residential/Other,2008,9,3,20,0,48XX SELKIRK ST,Shaughnessy,490364.9055,5454334.6041
Break and Enter Residential/Other,2019,10,15,14,43,48XX SELKIRK ST,Shaughnessy,490374.1347,5454343.7013
Break and Enter Residential/Other,2022,11,12,14,0,49XX ANGUS DR,Shaughnessy,489413.3161,5454336.5352
Break and Enter Residential/Other,2014,8,2,5,10,49XX ANGUS DR,Shaughnessy,489413.344,5454332.9655
Break and Enter Residential/Other,2004,5,3,15,0,49XX ANGUS DR,Shaughnessy,489413.7829,5454282.9114
Break and Enter Residential/Other,2011,6,11,19,0,49XX ANGUS DR,Shaughnessy,489413.7829,5454282.9114
Break and Enter Residential/Other,2004,3,14,22,0,49XX ANGUS DR,Shaughnessy,489413.9475,5454264.141
Break and Enter Residential/Other,2004,9,15,19,30,49XX ANGUS DR,Shaughnessy,489413.9475,5454264.141
